energy,cubicRoot,strain,alphaJutzi,pressure
61.547540,1.000000,0.000000,1.000000,-273368000.000000
148.288400,1.000000,0.000000,1.000000,-2427707000.000000
167.021400,1.000000,0.000000,1.000000,-2274826000.000000
17.857150,1.000000,0.000000,1.000000,-947991800.000000
43.671070,1.000000,0.000000,1.000000,-530633400.000000
15.637840,1.000000,0.000000,1.000000,-236740800.000000
109.455700,1.000000,0.000000,1.000000,-581997900.000000
4261.363000,1.000000,0.000000,1.000000,-1073231000.000000
88.147670,1.000000,0.000000,1.000000,-882588100.000000
1828.962000,1.000000,0.000000,1.000000,-6276806000.000000
2802.868000,1.000000,0.000000,1.000000,-6020368000.000000
32.419470,1.000000,0.000000,1.000000,-785990200.000000
168.086900,1.000000,0.000000,1.000000,-1378960000.000000
46810.860000,1.000000,0.000000,1.000000,-6011932000.000000
59.555480,1.000000,0.000000,1.000000,-492429000.000000
729.574200,1.000000,0.000000,1.000000,-1083675000.000000
311.513600,1.000000,0.000000,1.000000,-2288567000.000000
382.254100,1.000000,0.000000,1.000000,-545440900.000000
153.286400,1.000000,0.000000,1.000000,-381036600.000000
90.259240,1.000000,0.000000,1.000000,-196540000.000000
93.738850,1.000000,0.000000,1.000000,-679496800.000000
44.810400,1.000000,0.000000,1.000000,-168273100.000000
164.980300,1.000000,0.000000,1.000000,-1397990000.000000
766.428600,1.000000,0.000000,1.000000,-3090177000.000000
163.370800,1.000000,0.000000,1.000000,-196553100.000000
249.424100,1.000000,0.000000,1.000000,-509850200.000000
601.005400,1.000000,0.000000,1.000000,-3389400000.000000
5647.127000,1.000000,0.000000,1.000000,-5167966000.000000
23.061450,1.000000,0.000000,1.000000,-477476600.000000
116.086500,1.000000,0.000000,1.000000,-771372900.000000
126.113900,1.000000,0.000000,1.000000,-2179990000.000000
37.607970,1.000000,0.000000,1.000000,-252644700.000000
319.033900,1.000000,0.000000,1.000000,-2318704000.000000
60.203200,1.000000,0.000000,1.000000,-283026100.000000
