energy,cubicRoot,strain,alphaJutzi,pressure
3557.213000,1.000000,0.000000,1.000000,-5846140000.000000
1819.152000,1.000000,0.000000,1.000000,-6572145000.000000
2226.664000,1.000000,0.000000,1.000000,-5762265000.000000
367.921400,1.000000,0.000000,1.000000,-931515100.000000
3462.671000,1.000000,0.000000,1.000000,-6665369000.000000
8487.470000,1.000000,0.000000,1.000000,-6643068000.000000
3018.440000,1.000000,0.000000,1.000000,-6368502000.000000
66805.950000,1.000000,0.000000,1.000000,-6329553000.000000
2715.627000,1.000000,0.000000,1.000000,-3125004000.000000
2954.383000,1.000000,0.000000,1.000000,-6642364000.000000
2696.432000,1.000000,0.000000,1.000000,-1617476000.000000
1693.995000,1.000000,0.000000,1.000000,-3305861000.000000
265.049200,1.000000,0.000000,1.000000,-1178035000.000000
41596.100000,1.000000,0.000000,1.000000,-6551679000.000000
81053.400000,1.000000,0.000000,1.000000,-6180625000.000000
13832.220000,1.000000,0.000000,1.000000,-4925503000.000000
346793.100000,1.000000,0.000000,1.000000,-4580877000.000000
5667.370000,1.000000,0.000000,1.000000,-4313684000.000000
1105.918000,1.000000,0.000000,1.000000,-5888115000.000000
15455.330000,1.000000,0.000000,1.000000,-1712333000.000000
374.761200,1.000000,0.000000,1.000000,-2359422000.000000
15943.900000,1.000000,0.000000,1.000000,-5642911000.000000
737.568100,1.000000,0.000000,1.000000,-2033258000.000000
235.384000,1.000000,0.000000,1.000000,-1555393000.000000
300.207000,1.000000,0.000000,1.000000,-2266838000.000000
971.147800,1.000000,0.000000,1.000000,-6671937000.000000
174301.800000,1.000000,0.000000,1.000000,-4707545000.000000
4000.845000,1.000000,0.000000,1.000000,-5242881000.000000
5434.532000,1.000000,0.000000,1.000000,-6596530000.000000
1219.850000,1.000000,0.000000,1.000000,-2086915000.000000
167.924100,1.000000,0.000000,1.000000,-677624100.000000
415.500800,1.000000,0.000000,1.000000,-1982279000.000000
1176.475000,1.000000,0.000000,1.000000,-5977753000.000000
742.818100,1.000000,0.000000,1.000000,-2476699000.000000
24336.550000,1.000000,0.000000,1.000000,-4754624000.000000
1265.233000,1.000000,0.000000,1.000000,-3749450000.000000
7085.035000,1.000000,0.000000,1.000000,-553305400.000000
5255.888000,1.000000,0.000000,1.000000,-6360737000.000000
416.377800,1.000000,0.000000,1.000000,-1362078000.000000
1013.808000,1.000000,0.000000,1.000000,-2823975000.000000
5322.640000,1.000000,0.000000,1.000000,-6571887000.000000
