energy,cubicRoot,strain,alphaJutzi,pressure
0.743457,1.000000,0.000000,1.000000,-929869900.000000
0.615084,1.000000,0.000000,1.000000,-463472200.000000
0.349526,0.067165,0.000008,1.000000,429434.600000
0.211068,0.000000,0.000011,1.000000,1083976.000000
0.677522,0.000000,0.000018,1.000000,226511.700000
0.526454,0.010013,0.000057,1.000000,-1322330.000000
0.683055,0.002832,0.000016,1.000000,-301185.700000
0.842272,1.000000,0.000000,1.000000,-1419742000.000000
0.882524,1.000000,0.000000,1.000000,-1367499000.000000
0.156110,0.000989,0.000007,1.000000,-98434.620000
-0.832074,0.002026,0.000007,1.000000,41643.680000
-0.003024,0.067333,0.000003,1.000000,47836.100000
0.955436,1.000000,0.000000,1.000000,-2345198000.000000
0.893131,1.000000,0.000000,1.000000,-2471773000.000000
0.911567,1.000000,0.000000,1.000000,-2516162000.000000
1.030885,1.000000,0.000000,1.000000,-2506260000.000000
1.148666,0.067375,0.000003,1.000000,84659.450000
1.916760,0.090909,0.000023,1.000000,-312971.600000
2.854556,0.066667,0.000013,1.000000,48509.890000
1.486367,1.000000,0.000000,1.000000,-535693200.000000
1.147756,1.000000,0.000000,1.000000,-1531828000.000000
1.131984,1.000000,0.000000,1.000000,-154645600.000000
1.382780,0.067150,0.000047,1.000000,-77114.070000
3.922679,0.042123,0.000056,1.000000,-429979.700000
1.298299,0.071429,0.000041,1.000000,-619150.800000
1.328427,1.000000,0.000000,1.000000,-54614130.000000
0.538029,1.000000,0.000000,1.000000,-18784180.000000
-0.309772,0.000000,0.000027,1.000000,95446.410000
0.584436,0.000000,0.000069,1.000000,-1672611.000000
0.394717,0.000000,0.000039,1.000000,388536.800000
-0.000212,0.000000,0.000032,1.000000,-168142.500000
0.367657,0.000000,0.000016,1.000000,22676.530000
1.409179,1.000000,0.000000,1.000000,-29743620.000000
1.563172,1.000000,0.000000,1.000000,492490.100000
-0.238196,0.077515,0.000062,1.000000,-1211694.000000
0.561318,0.066667,0.000066,1.000000,-1167982.000000
0.650183,0.000000,0.000042,1.000000,188327.100000
0.414293,0.000000,0.000008,1.000000,1733964.000000
